sample_number,region,island,stage,date_egg,delta_15_n_o_oo,delta_13_c_o_oo
32,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/24,9.49283,-24.59996
33,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/24,9.36668,-24.45195
34,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/24,9.23196,-24.17282
35,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/25,9.75486,-24.31198
36,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/25,9.07825,-25.1455
37,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/14,8.83502,-24.65859
38,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/14,9.43146,-24.6844
39,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/24,9.80589,-24.73735
40,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/24,10.02544,-24.90816
41,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/24,9.53262,-24.66867
42,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/24,9.61734,-24.66188
43,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/14,10.02372,-24.86594
44,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/14,9.36493,-24.66259
45,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/17,9.43684,-24.16566
46,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/17,9.45827,-24.35575
47,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/27,9.46819,-24.45721
48,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/27,9.34089,-24.45189
49,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/23,9.6895,-24.43062
50,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/23,9.32169,-24.41562
51,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/21,9.46929,-24.48403
52,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/21,9.43782,-24.36202
53,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/23,9.415,-24.805
54,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/23,9.93727,-24.59066
55,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/27,9.56534,-24.60882
56,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/27,9.77528,-24.56481
57,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/21,9.62357,-24.78984
58,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/21,9.88809,-24.59513
59,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/21,9.74492,-24.404
60,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/21,9.46985,-24.65786
61,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/27,NA,-23.78767
62,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/27,9.65061,-24.48153
63,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/19,9.2671500000000009,-24.31912
64,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/19,9.7046500000000009,-24.53494
65,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/21,9.37608,-24.40753
66,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/21,9.4618,-24.70615
67,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/21,9.98044,-24.68741
68,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/21,9.39305,-24.25255
